Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.079147034347242,0.000256543804017355,0.000435548775883074,0,0,0,0.0166778103679292,1.46638258492931E-05,1.90183148822614E-09,3.68488235881721E-10,7.16031019539989E-06,-4.3543995749257E-08,7.51790795790666E-06,0,0,0,0,0,0,package://CM_HL_v8/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CM_HL_v8/meshes/base_link.STL,,GHPG-80-19.6-1N2YE 行星模组V1-2,HL_c1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
HL_link2_thigh_r,0.0199957134741563,-0.0387726556940942,-0.000170134594790525,0,0,0,0.0392091866021753,2.29078530952156E-05,-9.40088287932107E-09,-4.45868024964848E-07,4.06585481198753E-05,-5.4665397253342E-08,2.37194865231989E-05,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link2_thigh_r.STL,0.223529411764706,0.223529411764706,0.223529411764706,1,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link2_thigh_r.STL,,HL_l26-1;HL_l1_a-1;HL_l1_b-1;GHPG-96-19.6-1N2YE 行星模组V1-1,HL_c1,HL_joint2_thigh_r,HL_joint2_thigh_r,revolute,0,0,0,0,0,0,base_link,-1,0,0,100,0,3.14,3.14,,,,,,,,
HL_link3_thigh_p,-0.0603282418668271,-0.0199078023804649,-0.0762642203724724,0,0,0,0.115410236451442,0.000223812173465736,9.69380124023684E-08,-9.64538764909021E-05,0.000345887112245255,1.43580558480981E-07,0.00012464524632718,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link3_thigh_p.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link3_thigh_p.STL,,HL_l2_2_a-2;HL_l24-1;E-NETGS6-28-SC14-M3-N3-9;GHPG-96-19.6-1N2YE 行星模组V1-2;E-NETGS6-28-SC14-M3-N3-7;E-NETGS6-28-SC14-M3-N3-10;E-NETGS6-28-SC14-M3-N3-6;HL_l24-2;E-NETGS6-28-SC14-M3-N3-8;HL_l2_a-2;C-SFL6900ZZ-2;E-GMSHCDG10-40-1/E-GMSHCDG10-40_b-1;E-GMSHCDG10-40-1/No.10-1;C-SFL6900ZZ-1,HL_c1,HL_joint3_thigh_p,HL_joint3_thigh_p,revolute,0,0,0,0,0,0,HL_link2_thigh_r,0,0,0,100,0,3.14,3.14,,,,,,,,
HL_link4_knee_p,0.0672316863132475,-0.00429574969821129,-0.0411999833706305,0,0,0,0.126150884922169,0.000154424144181571,-1.1783426165149E-06,0.000172260725720491,0.000486223969288729,5.48278372175068E-07,0.000334693769655284,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link4_knee_p.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link4_knee_p.STL,,HL_l13-1;GHPG-80-19.6-1N2YE 行星模组V1-1;HL_l13_a-2;E-GMSHCDG8-20-1/E-GMSHCDG8-20_b-1;E-GMSHCDG8-20-1/No.7-1;C-E698ZZ-6;C-E698ZZ-5;HL_l26-2,HL_c4,HL_joint4_knee_p,HL_joint4_knee_p,revolute,-0.105,-0.004,-0.18187,0,0,0,HL_link3_thigh_p,0,-1,0,100,0,3.14,3.14,,,,,,,,
HL_link5_ankle_p,-0.0208378663520434,0.0003114349045425,-0.0494616512372393,0,0,0,0.090814526434762,0.000129272186316712,-9.37894899726077E-09,-8.58721453593097E-05,0.00019796827083096,7.24495545989856E-09,7.04316711173481E-05,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link5_ankle_p.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link5_ankle_p.STL,,HR_part25_1-2;E-SHCCG8-27-1/RING1_E-SHCCG8-27-1;C-E698ZZ-3;HR_part25_2-1;E-SHCCG8-33-1/BODY_E-SHCCG8-33-1;E-SHCCG8-27-1/BODY_E-SHCCG8-27-1;C-E698ZZ-10;E-SHCCG8-33-1/RING1_E-SHCCG8-33-1;C-E698ZZ-11;spacer-1;HL_l27-1,HL_c5,HL_joint5_ankle_p,HL_joint5_ankle_p,revolute,0.18187,-0.0035,-0.105,0,0,0,HL_link4_knee_p,0,1,0,100,0,3.14,3.14,,,,,,,,
HL_link6_toe_p,-0.0205541894626347,5.08872277533408E-05,-0.000853746825219104,0,0,0,0.0392139289733728,9.84407361555167E-06,9.80698424431825E-13,-6.12847391019406E-07,8.84697022702377E-06,-6.97280742181781E-12,1.55193417810945E-05,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link6_toe_p.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CM_HL_v8/meshes/HL_link6_toe_p.STL,,HL_l25-1;E-GMSHCDG8-45-1/E-GMSHCDG8-45_b-1,HL_c6,HL_joint6_toe_p,HL_joint6_toe_p,revolute,-0.074,0,-0.12817,0,0,0,HL_link5_ankle_p,0,1,0,100,0,3.14,3.14,,,,,,,,
